timestep,NO_Hydro_Min_Storage_Level,CH_Pump_Hydro_Open_Min_Storage_Level,FR_Hydro_Reservoir_Min_Storage_Level,FI_Hydro_Reservoir_Min_Storage_Level,SE_Hydro_Reservoir_Min_Storage_Level,SK_Hydro_Reservoir_Min_Storage_Level,NO_Hydro_Max_Storage_Level,CH_Pump_Hydro_Open_Max_Storage_Level,FR_Hydro_Reservoir_Max_Storage_Level,FI_Hydro_Reservoir_Max_Storage_Level,SE_Hydro_Reservoir_Max_Storage_Level,SK_Hydro_Reservoir_Max_Storage_Level
45,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
46,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
47,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
48,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
49,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
50,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
51,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
52,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
53,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
54,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
55,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
56,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
57,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
58,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
59,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
60,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
61,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
62,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
63,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
64,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
65,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
66,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
67,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
68,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
69,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
70,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
71,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
72,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
73,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
74,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
75,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
76,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
77,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
78,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
79,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
80,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
81,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
82,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
83,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
84,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
85,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
86,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
87,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
88,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
89,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
90,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
91,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
92,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
93,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
94,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
95,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
96,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
97,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
98,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
99,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
100,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
101,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
102,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
103,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
104,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
105,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
106,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
107,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
108,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
109,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
110,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
111,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
112,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
113,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
114,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
115,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
116,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
117,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
118,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
119,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
120,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
121,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
122,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
123,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
124,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
125,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
126,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
127,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
128,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
129,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
130,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
131,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
132,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
133,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
134,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
135,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
136,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
137,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
138,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
139,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
140,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
141,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
142,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
143,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
144,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
145,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
146,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
147,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
148,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
149,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
150,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
151,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
152,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
153,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
154,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
155,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
156,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
157,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
158,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
159,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
160,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
161,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
162,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
163,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
164,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
165,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
166,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
167,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
168,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
169,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
170,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
171,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
172,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
173,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
174,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
175,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
176,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
177,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
178,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
179,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
180,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
181,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
182,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
183,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
184,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
185,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
186,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
187,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
188,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
189,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
190,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
191,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
192,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
193,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
194,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
195,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
196,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
197,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
198,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
199,0.527666667,0.489603708,0.304,0.330922242,0.211244909,0.56,0.874333333,0.787227946,0.77,0.760036166,0.868657862,0.892
