n_rep_periods,clustering_type,weight_type,normalization,seed,regret_pct,mismatch_pct,total_time_s,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read,projection_error,max_weight_sum,cache_hit_rate,pgd_total_iters,termination_status,evaluation_termination_status,n_variables,n_constraints,eval_n_variables,eval_n_constraints,case_study,problem_class,source
10,convex_hull_with_null,convex,economic,653657,22.12823683591507,29.089393020406536,2.9233751249999997,0.005176,0.835042167,0.216702958,0.485811291,1.87163,0.272698583,811433.1899717469,1.0000000000000002,23.91123439667129,113322,OPTIMAL,OPTIMAL,40906,141154,1489306,3959534,gep,investment,tyndp
10,convex_hull_with_null,conical,economic,653657,20.753654026722245,16.619088405773716,2.743152126,0.005217209,0.838659417,0.20612425,0.486289458,1.698368459,0.272698583,746375.5429930083,1.2497566637212927,23.91123439667129,128444,OPTIMAL,OPTIMAL,40906,141154,1489306,3959534,gep,investment,tyndp
10,convex_hull_with_null,conical_bounded,economic,653657,22.32030028373748,11.220712403364901,2.984941208,0.005273916,0.882618541,0.116346917,0.641714042,1.98597575,0.272698583,752595.3893334902,1.0,23.91123439667129,126182,OPTIMAL,OPTIMAL,40906,141154,1489306,3959534,gep,investment,tyndp
10,conical_hull,dirac,economic,653657,14.171698315556336,11.602369586291008,2.2968192920000003,0.005273917,0.770493584,1.208e-6,0.482033417,1.5263245,0.272698583,1.1833146240368315e6,1.0,20.37037037037037,0,OPTIMAL,OPTIMAL,40906,141154,1489306,3959534,gep,investment,tyndp
10,conical_hull,convex,economic,653657,18.685738066990076,29.47595252182972,2.528045333,0.0052065,0.672133791,0.100999042,0.644734833,1.7549125,0.272698583,886798.8962593311,1.0000000000000004,20.37037037037037,86926,OPTIMAL,OPTIMAL,40906,141154,1489306,3959534,gep,investment,tyndp
10,conical_hull,conical,economic,653657,17.05176188564248,26.33793531159848,2.829629166,0.005246375,0.776548625,0.097137833,0.655271917,1.955942708,0.272698583,772613.1900364424,1.6637745943216524,20.37037037037037,103297,OPTIMAL,OPTIMAL,40906,141154,1489306,3959534,gep,investment,tyndp
10,conical_hull,conical_bounded,economic,653657,21.062988218828593,27.282150129327512,2.78508325,0.005236625,0.790266708,0.035473,0.53667275,1.959343542,0.272698583,885579.2264124686,1.0,20.37037037037037,87233,OPTIMAL,OPTIMAL,40906,141154,1489306,3959534,gep,investment,tyndp
20,k_means,dirac,economic,653657,163.62444192039453,69.84045118490634,6.092357125,0.005210583,0.154709084,7.08e-7,0.567037792,5.937647333,0.272698583,752537.8192031911,1.0,,0,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,k_means,convex,economic,653657,180.29183819145067,71.19947916063325,11.159277249999999,0.0052815,0.164098916,0.252597209,0.566252583,10.742581125,0.272698583,708372.6484474347,1.0000000000000002,,259516,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,k_means,conical,economic,653657,179.9837045617941,71.03977199896345,11.668191125,0.00523125,0.201485708,0.22356475,0.56826375,11.243140667,0.272698583,687651.404517276,1.2808554600511304,,296399,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
