normalization,clustering_type,weight_type,tol,regret_min_pct,regret_median_pct,regret_max_pct,regret_range_pct,median_time_s
economic,k_means,convex,1.0e-5,0.865664451566106,1.1925619730554393,2.0472149310157173,1.1815504794496112,0.07393174899999999
economic,k_means,convex,0.0001,0.8656644170292438,1.1925620152496652,2.047215587465856,1.1815511704366122,0.077656083
economic,k_means,convex,0.001,0.8656657131481671,1.1925614926049821,2.0471999665139684,1.1815342533658013,0.10171591700000002
economic,k_means,convex,0.01,0.86178520332163,1.192283211963896,2.067580176709849,1.205794973388219,0.066473458
economic,k_means,conical_bounded,1.0e-5,0.8556863180827934,1.190883536128684,2.114803692555034,1.2591173744722406,0.073005084
economic,k_means,conical_bounded,0.0001,0.8556863049655306,1.190883581110258,2.114802213344613,1.2591159083790826,0.073705625
economic,k_means,conical_bounded,0.001,0.8556872252217351,1.1908830584663521,2.1147779617456175,1.2590907365238824,0.072776958
economic,k_means,conical_bounded,0.01,0.8556874947219129,1.165592643680502,2.1045049432944163,1.2488174485725034,0.076916499
economic,k_means,conical,1.0e-5,1.0313634988704967,1.5598417188777747,2.485943754658315,1.4545802557878185,0.08799529
economic,k_means,conical,0.0001,1.0313634922178627,1.5598416730068232,2.485940294943245,1.4545768027253825,0.056627958000000006
economic,k_means,conical,0.001,1.031364140687896,1.5598413316383342,2.4859241006345734,1.4545599599466774,0.070942958
economic,k_means,conical,0.01,1.0315548912102512,1.5550287584122913,2.4746000978329574,1.4430452066227062,0.080138333
economic,k_medoids,convex,1.0e-5,1.6904503033472684,1.8801906313830052,2.876993418016438,1.1865431146691696,0.106188125
economic,k_medoids,convex,0.0001,1.690450306228497,1.8801906172910776,2.876993478870382,1.1865431726418851,0.110535042
economic,k_medoids,convex,0.001,1.6904500601498063,1.881320447460455,2.8769924274505865,1.1865423673007802,0.11948916700000001
economic,k_medoids,convex,0.01,1.7367697689697037,1.911094360261134,2.874187576748044,1.1374178077783403,0.107349793
economic,k_medoids,conical_bounded,1.0e-5,1.5887881804327542,1.7578484914574366,2.6974231434148788,1.1086349629821246,0.13372662600000002
economic,k_medoids,conical_bounded,0.0001,1.5887882155159128,1.7578485014684286,2.697423155918255,1.1086349404023421,0.18597275000000002
economic,k_medoids,conical_bounded,0.001,1.5887872964144512,1.7562742180936564,2.6974231236611024,1.1086358272466512,0.11302620799999999
economic,k_medoids,conical_bounded,0.01,1.5887916336905228,1.7496085229652403,2.680125681245027,1.0913340475545041,0.118600084
economic,k_medoids,conical,1.0e-5,1.6458997117443586,2.10856483341737,3.2715990341324996,1.625699322388141,0.096504624
economic,k_medoids,conical,0.0001,1.6459040276316728,2.1085649336292756,3.2715989905711895,1.6256949629395168,0.103136
economic,k_medoids,conical,0.001,1.6459032377281302,2.1069899965324046,3.271599535402858,1.625696297674728,0.087237292
economic,k_medoids,conical,0.01,1.6458790356147723,2.100325471149045,3.252190601612992,1.6063115659982197,0.10368170900000001
economic,hierarchical,convex,1.0e-5,1.5231111135850295,1.5231111135850295,1.5231111135850295,0.0,0.078170625
economic,hierarchical,convex,0.0001,1.5235545042495913,1.5235545042495913,1.5235545042495913,0.0,0.075730208
economic,hierarchical,convex,0.001,1.5235555475915818,1.5235555475915818,1.5235555475915818,0.0,0.070053084
economic,hierarchical,convex,0.01,1.6591054112192305,1.6591054112192305,1.6591054112192305,0.0,0.072464208
economic,hierarchical,conical_bounded,1.0e-5,1.5370179000426587,1.5370179000426587,1.5370179000426587,0.0,0.08149962399999999
economic,hierarchical,conical_bounded,0.0001,1.5370177902479076,1.5370177902479076,1.5370177902479076,0.0,0.097013126
economic,hierarchical,conical_bounded,0.001,1.5370202219797013,1.5370202219797013,1.5370202219797013,0.0,0.07904
economic,hierarchical,conical_bounded,0.01,1.5370127393085964,1.5370127393085964,1.5370127393085964,0.0,0.072817249
economic,hierarchical,conical,1.0e-5,1.7340165583840772,1.7340165583840772,1.7340165583840772,0.0,0.078046167
economic,hierarchical,conical,0.0001,1.7340164030402727,1.7340164030402727,1.7340164030402727,0.0,0.082981625
economic,hierarchical,conical,0.001,1.7340215347800392,1.7340215347800392,1.7340215347800392,0.0,0.081204624
economic,hierarchical,conical,0.01,1.7340192983612779,1.7340192983612779,1.7340192983612779,0.0,0.058416834
economic,chronological,convex,1.0e-5,2.956511609713086,2.956511609713086,2.956511609713086,0.0,0.16714362500000002
economic,chronological,convex,0.0001,2.956511688641794,2.956511688641794,2.956511688641794,0.0,0.153428375
economic,chronological,convex,0.001,2.956696285330329,2.956696285330329,2.956696285330329,0.0,0.15320483299999998
economic,chronological,convex,0.01,2.9945091599008933,2.9945091599008933,2.9945091599008933,0.0,0.173773124
economic,chronological,conical_bounded,1.0e-5,2.7802394970795508,2.7802394970795508,2.7802394970795508,0.0,0.167841542
economic,chronological,conical_bounded,0.0001,2.7802395469594288,2.7802395469594288,2.7802395469594288,0.0,0.163371791
economic,chronological,conical_bounded,0.001,2.7802405596121016,2.7802405596121016,2.7802405596121016,0.0,0.17790399899999998
economic,chronological,conical_bounded,0.01,2.7475476453487913,2.7475476453487913,2.7475476453487913,0.0,0.17040070799999998
economic,chronological,conical,1.0e-5,3.2196721206316115,3.2196721206316115,3.2196721206316115,0.0,0.116399625
economic,chronological,conical,0.0001,3.219672171335408,3.219672171335408,3.219672171335408,0.0,0.127251541
economic,chronological,conical,0.001,3.21967297553305,3.21967297553305,3.21967297553305,0.0,0.123796376
economic,chronological,conical,0.01,3.1869796934155037,3.1869796934155037,3.1869796934155037,0.0,0.14099499999999998
economic,convex_hull,convex,1.0e-5,0.8415468469807452,0.8415468469807452,0.8415468469807452,0.0,0.102306793
economic,convex_hull,convex,0.0001,0.8415467869443249,0.8415467869443249,0.8415467869443249,0.0,0.100132083
economic,convex_hull,convex,0.001,0.8415464459626598,0.8415464459626598,0.8415464459626598,0.0,0.106741209
economic,convex_hull,convex,0.01,0.9302557892290286,0.9302557892290286,0.9302557892290286,0.0,0.09625625
economic,convex_hull,conical_bounded,1.0e-5,0.8397094163419938,0.8397094163419938,0.8397094163419938,0.0,0.08946437600000001
economic,convex_hull,conical_bounded,0.0001,0.8397094203144384,0.8397094203144384,0.8397094203144384,0.0,0.09634166699999999
economic,convex_hull,conical_bounded,0.001,0.8397094203256517,0.8397094203256517,0.8397094203256517,0.0,0.07699904199999999
economic,convex_hull,conical_bounded,0.01,0.8397066837779299,0.8397066837779299,0.8397066837779299,0.0,0.076623376
economic,convex_hull,conical,1.0e-5,0.9929938208384392,0.9929938208384392,0.9929938208384392,0.0,0.073362542
economic,convex_hull,conical,0.0001,0.992993802199682,0.992993802199682,0.992993802199682,0.0,0.070076291
economic,convex_hull,conical,0.001,0.9929936396249506,0.9929936396249506,0.9929936396249506,0.0,0.068069167
economic,convex_hull,conical,0.01,0.9929940843692808,0.9929940843692808,0.9929940843692808,0.0,0.10278625
economic,convex_hull_with_null,convex,1.0e-5,0.8085622932364922,0.8085622932364922,0.8085622932364922,0.0,0.096544166
economic,convex_hull_with_null,convex,0.0001,0.8085622725762409,0.8085622725762409,0.8085622725762409,0.0,0.097687
economic,convex_hull_with_null,convex,0.001,0.8085623573379719,0.8085623573379719,0.8085623573379719,0.0,0.077553417
economic,convex_hull_with_null,convex,0.01,0.8991484271037908,0.8991484271037908,0.8991484271037908,0.0,0.077144625
economic,convex_hull_with_null,conical_bounded,1.0e-5,0.8085622932645364,0.8085622932645364,0.8085622932645364,0.0,0.10962345800000001
economic,convex_hull_with_null,conical_bounded,0.0001,0.808562272564739,0.808562272564739,0.808562272564739,0.0,0.099200917
economic,convex_hull_with_null,conical_bounded,0.001,0.8085623573264922,0.8085623573264922,0.8085623573264922,0.0,0.08476883299999999
economic,convex_hull_with_null,conical_bounded,0.01,0.8085631600591947,0.8085631600591947,0.8085631600591947,0.0,0.075217167
economic,convex_hull_with_null,conical,1.0e-5,0.9555260401393983,0.9555260401393983,0.9555260401393983,0.0,0.073668084
economic,convex_hull_with_null,conical,0.0001,0.9555260300971424,0.9555260300971424,0.9555260300971424,0.0,0.072668542
economic,convex_hull_with_null,conical,0.001,0.9555259875438038,0.9555259875438038,0.9555259875438038,0.0,0.086429458
economic,convex_hull_with_null,conical,0.01,0.9555274353491683,0.9555274353491683,0.9555274353491683,0.0,0.071699707
economic,conical_hull,convex,1.0e-5,0.7069851347715872,0.7069851347715872,0.7069851347715872,0.0,0.08214391700000001
economic,conical_hull,convex,0.0001,0.7069851124268611,0.7069851124268611,0.7069851124268611,0.0,0.07995175
economic,conical_hull,convex,0.001,0.7069847347753733,0.7069847347753733,0.7069847347753733,0.0,0.07260412499999999
