case_study,problem_class,source,n_rep_periods,clustering_type,weight_type,normalization,n_seeds,regret_mean_pct,regret_sd_pct,mismatch_mean_pct,time_mean_s,time_sd_s,is_deterministic,pareto_frontier,reasonable_in_group
gep,investment,tyndp,20,convex_hull,conical_bounded,economic,5,5.298466667194179,0.0,5.4751772530673,19.0794741502,0.0,true,false,false
gep,investment,tyndp,20,convex_hull_with_null,dirac,economic,5,1.8566117625454346,0.0,4.182351097855215,6.590573941200001,0.5,true,true,true
gep,investment,tyndp,20,convex_hull_with_null,convex,economic,5,7.870468254153873,0.0,23.439252538210415,18.1287724668,0.2,true,false,false
gep,investment,tyndp,20,convex_hull_with_null,conical,economic,5,5.797863043044571,0.0,18.85672362981975,20.6586679832,0.3,true,false,false
gep,investment,tyndp,20,convex_hull_with_null,conical_bounded,economic,5,4.356331198155972,0.0,15.729491653493628,19.251033691999996,0.4,true,false,false
gep,investment,tyndp,20,conical_hull,dirac,economic,5,6.680006574935193,0.0,13.304894092331498,5.5451985574,0.1,true,true,false
gep,investment,tyndp,20,conical_hull,convex,economic,5,9.540347595810461,0.0,22.471642801861353,7.8106851829999995,0.3,true,false,false
gep,investment,tyndp,20,conical_hull,conical,economic,5,7.231254557996225,0.0,19.071884311169015,16.9249993918,0.5,true,false,false
gep,investment,tyndp,20,conical_hull,conical_bounded,economic,5,10.223630711389763,0.0,21.85378991852328,7.825392491600001,0.3,true,false,false
gep,investment,tyndp,40,k_means,dirac,economic,5,82.39496519242415,30.1,54.14787966407234,11.5955165,1.9,false,false,false
gep,investment,tyndp,40,k_means,convex,economic,5,79.67001390535326,33.5,52.54601964969352,26.4029529588,8.4,false,false,false
gep,investment,tyndp,40,k_means,conical,economic,5,75.55134409844378,27.9,51.471715517720895,23.658804816799996,3.8,false,false,false
gep,investment,tyndp,40,k_means,conical_bounded,economic,5,80.06796584749645,33.5,52.79154679299063,24.740673225000002,5.6,false,false,false
gep,investment,tyndp,40,k_medoids,dirac,economic,5,29.86354015223692,21.0,26.55152821943928,14.741887041999998,3.4,false,false,false
gep,investment,tyndp,40,k_medoids,convex,economic,5,28.698398605035358,22.0,25.44406470189826,30.229276166,5.4,false,false,false
gep,investment,tyndp,40,k_medoids,conical,economic,5,27.51869101826149,21.1,24.79466482308319,27.4997632254,2.8,false,false,false
gep,investment,tyndp,40,k_medoids,conical_bounded,economic,5,29.285756197944284,22.2,26.048548175268763,27.2984373666,3.8,false,false,false
gep,investment,tyndp,40,hierarchical,dirac,economic,5,15.955999425794932,0.0,16.72675322690189,12.9557120082,0.1,true,false,false
gep,investment,tyndp,40,hierarchical,convex,economic,5,20.889605612151275,0.0,19.615123965433853,25.0470694002,0.4,true,false,false
gep,investment,tyndp,40,hierarchical,conical,economic,5,17.099381530897073,0.0,16.466122532658016,26.882207625,0.3,true,false,false
gep,investment,tyndp,40,hierarchical,conical_bounded,economic,5,20.884150441369265,0.0,20.565676962599436,25.0636198336,0.3,true,false,false
