case_study,n_rep_periods,loss_of_load_mwh,loss_of_load_pct_of_demand,spillage_mwh,borrow_mwh,borrow_cost,annual_demand_mwh,proposed_mismatch_pct,conventional_dirac_mismatch_min_pct,conventional_dirac_mismatch_max_pct
5bus,20,624.6644650368512,0.03957882890410269,187674.93177065745,0.0,0.0,1.578279303186e6,32.70349200792882,32.19433170513502,85.82629881720717
gep,20,423621.391614174,0.01828632502659524,0.0,0.0,0.0,2.316602111129864e9,22.471642801861353,34.17489142230769,69.93691868544879
p2x,20,263480.49151744106,0.006041076994001829,4.839354120182167e7,2402.5759999423763,24025.75999942376,4.361482096305844e9,53.30216249460683,12.625098072253806,39.32332189906305
118bus,20,57.81832000000139,6.0369245466690835e-5,0.0,0.0,0.0,9.577446190196806e7,12.249393555594578,1.622470289350117,5.5627103482193965
