variant,n_rep_periods,n_seeds,iters_mean,iters_sd,time_mean_s,time_sd_s,regret_mean_pct,projection_error_mean
proposed,10,5,42163.0,0.0,0.017798658000000002,0.011987371336972318,0.6528841896221271,39.412445190749416
proposed,20,5,348601.0,0.0,0.33706611659999997,0.11019405173179003,0.8502692184698901,23.987480026580656
proposed,40,5,1.329929e6,0.0,1.4190525747999998,0.10112786536601209,0.28546909462925374,5.704008316945546
proposed,80,5,1.730252e6,0.0,4.4141685086,0.1759886147960592,-3.530509218307998e-12,2.1369608562872844
