case_study,clustering_type,weight_type,n_rep_periods,total_spillage,total_borrow,max_weight_sum,eval_cost_of_operations,eval_cost_of_borrow
gep,convex_hull,convex,80,0.0,0.0,1.0000000000000002,2.3237590208580032e7,0.0
gep,convex_hull,conical_bounded,10,0.0,0.0,1.0,8.247780111542732e7,0.0
gep,convex_hull,conical_bounded,20,0.0,0.0,1.0000000000000002,2.6190019441112302e7,0.0
gep,convex_hull,conical_bounded,40,0.0,0.0,1.0000000000000002,2.543855493980155e7,0.0
gep,convex_hull,conical_bounded,80,0.0,0.0,1.0000000000000002,2.335574328986805e7,0.0
gep,convex_hull,conical,10,0.0,0.0,1.239225157602805,8.293660242277595e7,0.0
gep,convex_hull,conical,20,0.0,0.0,1.2752618581582316,2.6425759066470735e7,0.0
gep,convex_hull,conical,40,0.0,0.0,1.30706603428146,2.4781305177606914e7,0.0
gep,convex_hull,conical,80,0.0,0.0,1.2656341789494567,2.305787270649247e7,0.0
gep,convex_hull_with_null,dirac,10,0.0,0.0,1.0,3.0476428577825833e7,0.0
gep,convex_hull_with_null,dirac,20,0.0,0.0,1.0,2.3887946606440246e7,0.0
gep,convex_hull_with_null,dirac,40,0.0,0.0,1.0,2.4122863412305348e7,0.0
gep,convex_hull_with_null,dirac,80,0.0,0.0,1.0,2.4900389595211755e7,0.0
gep,convex_hull_with_null,convex,10,0.0,0.0,1.0000000000000002,3.2806598845484816e7,0.0
gep,convex_hull_with_null,convex,20,0.0,0.0,1.0000000000000002,2.356330314019109e7,0.0
gep,convex_hull_with_null,convex,40,0.0,0.0,1.0000000000000002,2.3857624582590338e7,0.0
gep,convex_hull_with_null,convex,80,0.0,0.0,1.0000000000000002,2.3189973891302574e7,0.0
gep,convex_hull_with_null,conical_bounded,10,0.0,0.0,1.0,3.477729327285517e7,0.0
gep,convex_hull_with_null,conical_bounded,20,0.0,0.0,1.0000000000000002,2.4391514743461516e7,0.0
gep,convex_hull_with_null,conical_bounded,40,0.0,0.0,1.0000000000000002,2.445086331527288e7,0.0
gep,convex_hull_with_null,conical_bounded,80,0.0,0.0,1.0000000000000002,2.3297168783137493e7,0.0
gep,convex_hull_with_null,conical,10,0.0,0.0,1.2497566637212927,3.3750355897729374e7,0.0
gep,convex_hull_with_null,conical,20,0.0,0.0,1.269143660200941,2.4063781834215585e7,0.0
gep,convex_hull_with_null,conical,40,0.0,0.0,1.2572905346497698,2.4285390727039915e7,0.0
gep,convex_hull_with_null,conical,80,0.0,0.0,1.2523886722140125,2.33447270957091e7,0.0
gep,conical_hull,dirac,10,0.0,0.0,1.0,3.198653568005479e7,0.0
gep,conical_hull,dirac,20,0.0,0.0,1.0,2.920361762333452e7,0.0
gep,conical_hull,dirac,40,0.0,0.0,1.0,2.7252686699686028e7,0.0
gep,conical_hull,dirac,80,0.0,0.0,1.0,2.788532685354715e7,0.0
gep,conical_hull,convex,10,0.0,0.0,1.0000000000000004,2.935019489077484e7,0.0
gep,conical_hull,convex,20,0.0,0.0,1.0000000000000002,2.6394218360892907e7,0.0
gep,conical_hull,convex,40,0.0,0.0,1.0000000000000002,2.5027711379183695e7,0.0
gep,conical_hull,convex,80,0.0,0.0,1.0000000000000002,2.4762675604381476e7,0.0
gep,conical_hull,conical_bounded,10,0.0,0.0,1.0,3.0843065393625926e7,0.0
gep,conical_hull,conical_bounded,20,0.0,0.0,1.0000000000000002,2.670411428566236e7,0.0
gep,conical_hull,conical_bounded,40,0.0,0.0,1.0000000000000002,2.5139996572275635e7,0.0
gep,conical_hull,conical_bounded,80,0.0,0.0,1.0000000000000002,2.4820560585031446e7,0.0
gep,conical_hull,conical,10,0.0,0.0,1.6637745943216522,2.9053576773695983e7,0.0
gep,conical_hull,conical,20,0.0,0.0,1.6458538381177565,2.713182034094905e7,0.0
gep,conical_hull,conical,40,0.0,0.0,1.615373686240662,2.4829773066832233e7,0.0
gep,conical_hull,conical,80,0.0,0.0,1.5342298584317198,2.4690479454085626e7,0.0
5bus,k_means,dirac,10,217763.67503683112,464.26928251133097,1.0,381788.163020391,4642.6928251133095
5bus,k_means,dirac,20,217556.91452854392,430.6591026373597,1.0,235188.70167225468,4306.591026373598
5bus,k_means,dirac,40,208200.38971188315,0.0,1.0,33224.59913611612,0.0
5bus,k_means,dirac,80,204073.13370736566,0.0,1.0,29688.917652315344,0.0
5bus,k_means,convex,10,217984.16306528953,28.594336853227105,1.0000000000000002,368068.8904388993,285.94336853227105
5bus,k_means,convex,20,216690.512961316,37.109751276053885,1.0000000000000002,230784.5123187444,371.09751276053885
5bus,k_means,convex,40,206931.1903372444,0.0,1.0000000000000002,29889.255281104695,0.0
5bus,k_means,convex,80,199278.36582939996,0.0,1.0000000000000002,29165.404124416535,0.0
5bus,k_means,conical_bounded,10,213314.2322098476,517.5253359620004,1.0,353564.8696660661,5175.253359620003
5bus,k_means,conical_bounded,20,211742.83475747984,14.991798216495681,1.0000000000000002,226106.63219104247,149.9179821649568
