clustering_type,weight_type,arm,n_rep_periods,n_seeds,regret_mean_pct,regret_sd_pct,mismatch_mean_pct,mismatch_sd_pct,time_mean_s,time_sd_s,iters_mean,iters_sd
convex_hull,convex,proposed,10,5,0.9302557892290286,0.0,1.2694432787386114,0.0,0.1219690248,0.07584693787941134,62302.0,0.0
convex_hull,convex,proposed,20,5,0.3404524118866936,0.0,0.7493339621869686,0.0,0.4070644498,0.09483342286735312,241426.0,0.0
convex_hull,convex,proposed,40,5,0.22336954221917615,0.0,0.042573995565155905,0.0,3.1900695334,0.44314586833315,1.561538e6,0.0
convex_hull,convex,proposed,80,5,-6.1173288656846125e-12,0.0,0.09572926213946069,0.0,18.124460499999998,0.45822141927702137,2.921988e6,0.0
convex_hull,convex,no_cache,10,5,0.9302557892290286,0.0,1.2694432787386114,0.0,0.9838853661999998,1.8881386729947183,62302.0,0.0
convex_hull,convex,no_cache,20,5,0.3404524118866936,0.0,0.7493339621869686,0.0,1.0280075918,0.11979493949519467,241426.0,0.0
convex_hull,convex,no_cache,40,5,0.22336954221917615,0.0,0.042573995565155905,0.0,15.2566321082,0.549481645694485,1.561538e6,0.0
convex_hull,convex,no_cache,80,5,-6.1173288656846125e-12,0.0,0.09572926213946069,0.0,398.1321157248,411.35401501509807,2.921988e6,0.0
convex_hull,convex,gram_only,10,5,0.9302087212348598,0.0,1.2694785464991358,0.0,0.8094817668000001,0.03186748015701281,2.578014e6,0.0
convex_hull,convex,gram_only,20,5,0.48073948047304693,0.0,1.7373302178604217,0.0,4.906949899999999,0.24438813507215462,9.349876e6,0.0
convex_hull,convex,gram_only,40,5,0.8086583431501149,0.0,0.6047079195195452,0.0,8.756691291600001,0.23689031119352233,7.923819e6,0.0
convex_hull,convex,gram_only,80,5,5.1736392947532295e-12,0.0,1.4017226606061028,0.0,21.5271121168,1.9945587287337776,4.0e6,0.0
convex_hull,convex,plain,10,5,0.9302087212475163,0.0,1.2694785464863596,0.0,2.0349142246,0.1691262456615037,2.578014e6,0.0
convex_hull,convex,plain,20,5,0.48073948047513415,0.0,1.7373302178894732,2.482534153247273e-16,11.3963710416,0.8182454522105631,9.349876e6,0.0
convex_hull,convex,plain,40,5,0.8086583431422323,0.0,0.6047079195117955,0.0,17.854292042,0.9624002302972436,7.923819e6,0.0
convex_hull,convex,plain,80,5,-5.972999872483342e-12,0.0,1.401722660616835,0.0,27.6724650914,0.7277819774498101,4.0e6,0.0
