case_study,clustering_type,weight_type,n_rep_periods,capacity_l1_diff_pct
5bus,k_medoids,conical_bounded,10,28.97209820924488
5bus,k_medoids,conical_bounded,20,27.587168484924547
5bus,k_medoids,conical_bounded,40,2.1883244168497398
5bus,k_medoids,conical_bounded,80,4.937125679079349
5bus,k_medoids,conical,10,35.44107987490503
5bus,k_medoids,conical,20,33.72036154351519
5bus,k_medoids,conical,40,4.2514254273228
5bus,k_medoids,conical,80,1.832390867765023
5bus,hierarchical,dirac,10,35.26506240711343
5bus,hierarchical,dirac,20,26.84167014830085
5bus,hierarchical,dirac,40,15.886629028670345
5bus,hierarchical,dirac,80,15.157506949053742
5bus,hierarchical,convex,10,36.19269315409317
5bus,hierarchical,convex,20,23.19154507937767
5bus,hierarchical,convex,40,11.685710079504371
5bus,hierarchical,convex,80,11.19327206969658
5bus,hierarchical,conical_bounded,10,35.270648575967606
5bus,hierarchical,conical_bounded,20,23.207296785249625
5bus,hierarchical,conical_bounded,40,9.849819880739783
5bus,hierarchical,conical_bounded,80,9.461896016197489
5bus,hierarchical,conical,10,36.95879111685428
5bus,hierarchical,conical,20,22.267347392626096
5bus,hierarchical,conical,40,11.100843746802614
5bus,hierarchical,conical,80,14.880485914785321
5bus,chronological,dirac,10,23.594823587960374
5bus,chronological,dirac,20,19.69653846727916
5bus,chronological,dirac,40,16.474160374872294
5bus,chronological,dirac,80,1.0907090256625656
5bus,chronological,convex,10,19.768380218213853
5bus,chronological,convex,20,19.049931123756462
5bus,chronological,convex,40,18.289088890903393
5bus,chronological,convex,80,3.1143213366963787
5bus,chronological,conical_bounded,10,19.816242388528273
5bus,chronological,conical_bounded,20,18.34016369167503
5bus,chronological,conical_bounded,40,17.9496023942927
5bus,chronological,conical_bounded,80,2.6433755654650293
5bus,chronological,conical,10,22.49670873131199
5bus,chronological,conical,20,18.741810294366648
5bus,chronological,conical,40,23.23101785784567
5bus,chronological,conical,80,5.28339370729853
5bus,convex_hull,dirac,10,14.41712031613499
5bus,convex_hull,dirac,20,13.202416418469143
5bus,convex_hull,dirac,40,12.930178322910251
5bus,convex_hull,dirac,80,3.4280057619340454
5bus,convex_hull,convex,10,16.004277734380636
5bus,convex_hull,convex,20,12.94873661254155
5bus,convex_hull,convex,40,13.152436590109797
5bus,convex_hull,convex,80,3.302417237228925
5bus,convex_hull,conical_bounded,10,15.69074329797768
5bus,convex_hull,conical_bounded,20,11.453191539932481
5bus,convex_hull,conical_bounded,40,11.563184032423612
5bus,convex_hull,conical_bounded,80,4.983611018507739
5bus,convex_hull,conical,10,17.24594190005939
5bus,convex_hull,conical,20,12.126989931117684
5bus,convex_hull,conical,40,12.318136225563528
5bus,convex_hull,conical,80,5.209794619090733
5bus,convex_hull_with_null,dirac,10,21.117268757233816
5bus,convex_hull_with_null,dirac,20,30.41930195288846
5bus,convex_hull_with_null,dirac,40,26.41775259204236
5bus,convex_hull_with_null,dirac,80,3.451539462500357
5bus,convex_hull_with_null,convex,10,25.033435361423113
5bus,convex_hull_with_null,convex,20,23.1960415006825
5bus,convex_hull_with_null,convex,40,22.136650262724125
5bus,convex_hull_with_null,convex,80,3.23697240683002
5bus,convex_hull_with_null,conical_bounded,10,26.4630309641537
5bus,convex_hull_with_null,conical_bounded,20,25.168837446504025
5bus,convex_hull_with_null,conical_bounded,40,26.4601829076485
5bus,convex_hull_with_null,conical_bounded,80,4.872713339736274
5bus,convex_hull_with_null,conical,10,24.205733834819352
5bus,convex_hull_with_null,conical,20,23.849122950289953
5bus,convex_hull_with_null,conical,40,23.02831889877546
5bus,convex_hull_with_null,conical,80,5.169169844694984
5bus,conical_hull,dirac,10,11.898700412165228
5bus,conical_hull,dirac,20,13.20877270764817
