normalization,tol,seed,regret_pct,mismatch_pct
economic,0.01,653657,0.6528841896221271,11.107855176116553
economic,0.001,653657,0.7069847347753733,2.5271248800980453
economic,0.0001,653657,0.7069851124268611,1.8923088481200618
economic,1.0e-5,653657,0.7069851347715872,1.892308652834284
unscaled,0.01,653657,1.478916275858233,10.23657682884836
unscaled,0.001,653657,1.1936563832997793,1.7847030025738169
unscaled,0.0001,653657,1.1879633492822839,1.8155888787138523
unscaled,1.0e-5,653657,1.1879737668152757,1.8150662763504082
minmax,0.01,653657,1.3314732084973802,1.7076040816233846
minmax,0.001,653657,1.2254465552747007,1.5870317900897775
minmax,0.0001,653657,1.2257547398126345,1.5847596942926607
minmax,1.0e-5,653657,1.2257349217483782,1.5844998352502864
economic,0.01,505263,0.6528841896221271,11.107855176116553
economic,0.001,505263,0.7069847347753733,2.5271248800980453
economic,0.0001,505263,0.7069851124268611,1.8923088481200618
economic,1.0e-5,505263,0.7069851347715872,1.892308652834284
unscaled,0.01,505263,1.478916275858233,10.23657682884836
unscaled,0.001,505263,1.1936563832997793,1.7847030025738169
unscaled,0.0001,505263,1.1879633492822839,1.8155888787138523
unscaled,1.0e-5,505263,1.1879737668152757,1.8150662763504082
minmax,0.01,505263,1.3314732084973802,1.7076040816233846
minmax,0.001,505263,1.2254465552747007,1.5870317900897775
minmax,0.0001,505263,1.2257547398126345,1.5847596942926607
minmax,1.0e-5,505263,1.2257349217483782,1.5844998352502864
economic,0.01,570629,0.6528841896221271,11.107855176116553
economic,0.001,570629,0.7069847347753733,2.5271248800980453
economic,0.0001,570629,0.7069851124268611,1.8923088481200618
economic,1.0e-5,570629,0.7069851347715872,1.892308652834284
unscaled,0.01,570629,1.478916275858233,10.23657682884836
unscaled,0.001,570629,1.1936563832997793,1.7847030025738169
unscaled,0.0001,570629,1.1879633492822839,1.8155888787138523
unscaled,1.0e-5,570629,1.1879737668152757,1.8150662763504082
minmax,0.01,570629,1.3314732084973802,1.7076040816233846
minmax,0.001,570629,1.2254465552747007,1.5870317900897775
minmax,0.0001,570629,1.2257547398126345,1.5847596942926607
minmax,1.0e-5,570629,1.2257349217483782,1.5844998352502864
economic,0.01,932178,0.6528841896221271,11.107855176116553
economic,0.001,932178,0.7069847347753733,2.5271248800980453
economic,0.0001,932178,0.7069851124268611,1.8923088481200618
economic,1.0e-5,932178,0.7069851347715872,1.892308652834284
unscaled,0.01,932178,1.478916275858233,10.23657682884836
unscaled,0.001,932178,1.1936563832997793,1.7847030025738169
unscaled,0.0001,932178,1.1879633492822839,1.8155888787138523
unscaled,1.0e-5,932178,1.1879737668152757,1.8150662763504082
minmax,0.01,932178,1.3314732084973802,1.7076040816233846
minmax,0.001,932178,1.2254465552747007,1.5870317900897775
minmax,0.0001,932178,1.2257547398126345,1.5847596942926607
minmax,1.0e-5,932178,1.2257349217483782,1.5844998352502864
economic,0.01,643543,0.6528841896221271,11.107855176116553
economic,0.001,643543,0.7069847347753733,2.5271248800980453
economic,0.0001,643543,0.7069851124268611,1.8923088481200618
economic,1.0e-5,643543,0.7069851347715872,1.892308652834284
unscaled,0.01,643543,1.478916275858233,10.23657682884836
unscaled,0.001,643543,1.1936563832997793,1.7847030025738169
unscaled,0.0001,643543,1.1879633492822839,1.8155888787138523
unscaled,1.0e-5,643543,1.1879737668152757,1.8150662763504082
minmax,0.01,643543,1.3314732084973802,1.7076040816233846
minmax,0.001,643543,1.2254465552747007,1.5870317900897775
minmax,0.0001,643543,1.2257547398126345,1.5847596942926607
minmax,1.0e-5,643543,1.2257349217483782,1.5844998352502864
