case_study,clustering_type,weight_type,n_rep_periods,mean_tracking_error_pct_of_capacity,n_obs
p2x,conical_hull,convex,20,13.470086924514025,16790
p2x,conical_hull,convex,40,11.88418671324593,16790
p2x,conical_hull,convex,80,14.187181401730186,16790
p2x,conical_hull,conical_bounded,10,13.84204520283227,16790
p2x,conical_hull,conical_bounded,20,13.145615465205958,16790
p2x,conical_hull,conical_bounded,40,11.857804922882677,16790
p2x,conical_hull,conical_bounded,80,14.228913735243488,16790
p2x,conical_hull,conical,10,13.219091753873224,16790
p2x,conical_hull,conical,20,12.561206780877365,16790
p2x,conical_hull,conical,40,11.860425760268125,16790
p2x,conical_hull,conical,80,11.439352703746234,16790
118bus,k_means,dirac,10,3.6859387790115132,5475
118bus,k_means,dirac,20,3.98654231201273,5475
118bus,k_means,dirac,40,3.1037304918316133,5475
118bus,k_means,dirac,80,2.874231120350432,5475
118bus,k_means,convex,10,4.31713672437855,5475
118bus,k_means,convex,20,3.6873787038664108,5475
118bus,k_means,convex,40,3.008651879201396,5475
118bus,k_means,convex,80,2.6216383816575486,5475
118bus,k_means,conical_bounded,10,4.652498987879525,5475
118bus,k_means,conical_bounded,20,4.138900861492749,5475
118bus,k_means,conical_bounded,40,3.1925422871449154,5475
118bus,k_means,conical_bounded,80,2.747739287476522,5475
118bus,k_means,conical,10,4.641540148979766,5475
118bus,k_means,conical,20,4.284519941807201,5475
118bus,k_means,conical,40,3.3669155067568357,5475
118bus,k_means,conical,80,2.87774712987312,5475
118bus,k_medoids,dirac,10,4.396200487260003,5475
118bus,k_medoids,dirac,20,2.725264279134104,5475
118bus,k_medoids,dirac,40,3.075959181951087,5475
118bus,k_medoids,dirac,80,2.535149109946519,5475
118bus,k_medoids,convex,10,5.152102654762643,5475
118bus,k_medoids,convex,20,2.67568291197744,5475
118bus,k_medoids,convex,40,3.224716142912621,5475
118bus,k_medoids,convex,80,3.0561568016610368,5475
118bus,k_medoids,conical_bounded,10,5.747893814626304,5475
118bus,k_medoids,conical_bounded,20,4.498968716653446,5475
118bus,k_medoids,conical_bounded,40,3.1651000096266966,5475
118bus,k_medoids,conical_bounded,80,3.065951286877023,5475
118bus,k_medoids,conical,10,5.849093892099341,5475
118bus,k_medoids,conical,20,3.2830930404356615,5475
118bus,k_medoids,conical,40,3.3812879863090752,5475
118bus,k_medoids,conical,80,2.974683185046627,5475
118bus,hierarchical,dirac,10,6.585718044264056,5475
118bus,hierarchical,dirac,20,3.9011489654069065,5475
118bus,hierarchical,dirac,40,2.5942046009907815,5475
118bus,hierarchical,dirac,80,2.5775944630761582,5475
118bus,hierarchical,convex,10,6.835118516166645,5475
118bus,hierarchical,convex,20,4.46415138705671,5475
118bus,hierarchical,convex,40,2.67716287492978,5475
118bus,hierarchical,convex,80,2.7763020559507954,5475
118bus,hierarchical,conical_bounded,10,6.993562793872475,5475
118bus,hierarchical,conical_bounded,20,5.012807001619626,5475
118bus,hierarchical,conical_bounded,40,3.23589677131543,5475
118bus,hierarchical,conical_bounded,80,3.097699893893059,5475
118bus,hierarchical,conical,10,7.142580088934888,5475
118bus,hierarchical,conical,20,5.142326838604839,5475
118bus,hierarchical,conical,40,3.0218254894028806,5475
118bus,hierarchical,conical,80,2.678108199535171,5475
118bus,chronological,dirac,10,7.771633492636156,5475
118bus,chronological,dirac,20,5.652108541723536,5475
118bus,chronological,dirac,40,5.917850099810283,5475
118bus,chronological,dirac,80,2.5487264503842093,5475
118bus,chronological,convex,10,4.200219970322183,5475
118bus,chronological,convex,20,3.397776126110917,5475
118bus,chronological,convex,40,2.292502056494476,5475
118bus,chronological,convex,80,2.4078291612179332,5475
118bus,chronological,conical_bounded,10,4.34802234277335,5475
118bus,chronological,conical_bounded,20,3.9681398448820526,5475
118bus,chronological,conical_bounded,40,2.9377868891056003,5475
118bus,chronological,conical_bounded,80,2.773677215521112,5475
118bus,chronological,conical,10,4.815674829928939,5475
118bus,chronological,conical,20,3.9039885203894986,5475
118bus,chronological,conical,40,2.9753542443747376,5475
118bus,chronological,conical,80,2.7447687382310915,5475
118bus,convex_hull,dirac,10,8.33303308021019,5475
118bus,convex_hull,dirac,20,3.7096975407917134,5475
118bus,convex_hull,dirac,40,4.941882456001182,5475
118bus,convex_hull,dirac,80,3.6072143549628324,5475
118bus,convex_hull,convex,10,7.1396395873128835,5475
118bus,convex_hull,convex,20,4.6782639899251794,5475
118bus,convex_hull,convex,40,4.299771883693664,5475
118bus,convex_hull,convex,80,3.2562238904186946,5475
118bus,convex_hull,conical_bounded,10,7.296827780113972,5475
118bus,convex_hull,conical_bounded,20,4.79258525800713,5475
118bus,convex_hull,conical_bounded,40,4.52964999324515,5475
118bus,convex_hull,conical_bounded,80,3.1129480992910423,5475
118bus,convex_hull,conical,10,7.3499291908249305,5475
118bus,convex_hull,conical,20,5.0292976250060315,5475
118bus,convex_hull,conical,40,4.8377776038172495,5475
118bus,convex_hull,conical,80,2.8479050647140136,5475
118bus,convex_hull_with_null,dirac,10,6.8183598240359995,5475
118bus,convex_hull_with_null,dirac,20,3.617275801487653,5475
118bus,convex_hull_with_null,dirac,40,4.618973870750972,5475
118bus,convex_hull_with_null,dirac,80,3.7566948341335755,5475
118bus,convex_hull_with_null,convex,10,4.460095141731532,5475
118bus,convex_hull_with_null,convex,20,3.731151567241503,5475
118bus,convex_hull_with_null,convex,40,3.7518978235188136,5475
118bus,convex_hull_with_null,convex,80,2.88871341012058,5475
118bus,convex_hull_with_null,conical_bounded,10,5.374989329973305,5475
118bus,convex_hull_with_null,conical_bounded,20,3.9181356758874157,5475
118bus,convex_hull_with_null,conical_bounded,40,3.8364661628472336,5475
118bus,convex_hull_with_null,conical_bounded,80,2.9865457615707007,5475
118bus,convex_hull_with_null,conical,10,5.5509308903062395,5475
118bus,convex_hull_with_null,conical,20,3.9754866408254212,5475
118bus,convex_hull_with_null,conical,40,3.9769514578814085,5475
118bus,convex_hull_with_null,conical,80,2.8103108495793654,5475
118bus,conical_hull,dirac,10,5.233046569924192,5475
118bus,conical_hull,dirac,20,5.017155807630604,5475
118bus,conical_hull,dirac,40,5.80432620967517,5475
118bus,conical_hull,dirac,80,3.67222711182818,5475
118bus,conical_hull,convex,10,3.4059945263200513,5475
118bus,conical_hull,convex,20,4.188902671931797,5475
118bus,conical_hull,convex,40,3.774886316302649,5475
118bus,conical_hull,convex,80,3.70396655752075,5475
118bus,conical_hull,conical_bounded,10,3.5327441261378167,5475
118bus,conical_hull,conical_bounded,20,4.003988633075792,5475
118bus,conical_hull,conical_bounded,40,3.742870461127613,5475
118bus,conical_hull,conical_bounded,80,3.446131368195841,5475
118bus,conical_hull,conical,10,3.7795415693385896,5475
118bus,conical_hull,conical,20,4.570399682797779,5475
118bus,conical_hull,conical,40,3.780777964629526,5475
118bus,conical_hull,conical,80,3.4613198292888083,5475
