r_10rp,clustering_type,arm,m_10rp,m_80rp,t_80rp,weight_type,r_80rp,t_10rp
0.9302557892290286,convex_hull,proposed,1.2694432787386114,0.09572926213946069,18.124460499999998,convex,-6.1173288656846125e-12,0.1219690248
0.9302557892290286,convex_hull,no_cache,1.2694432787386114,0.09572926213946069,398.1321157248,convex,-6.1173288656846125e-12,0.9838853661999998
0.9302087212348598,convex_hull,gram_only,1.2694785464991358,1.4017226606061028,21.5271121168,convex,5.1736392947532295e-12,0.8094817668000001
0.9302087212475163,convex_hull,plain,1.2694785464863596,1.401722660616835,27.6724650914,convex,-5.972999872483342e-12,2.0349142246
0.9929940843692808,convex_hull,proposed,1.0014872414901326,0.5218095871469304,15.729964600399999,conical,-3.1530333899354446e-12,0.08896072499999999
0.9929940843692808,convex_hull,no_cache,1.0014872414901326,0.5218095871469304,208.06081983320001,conical,-3.1530333899354446e-12,0.1260551332
0.9929859664097318,convex_hull,gram_only,1.0016054989820198,3.548256646388159,16.548100033599997,conical,-4.662936703425657e-13,0.5631733836
0.992985966407578,convex_hull,plain,1.0016054989836798,3.5482566463755854,23.698660825599998,conical,-4.3298697960381105e-13,1.6429906500000002
0.6528841896221271,conical_hull,proposed,11.107855176116553,0.19068568587394655,4.763658250200001,convex,-3.530509218307998e-12,0.0576491914
0.5231864357237104,conical_hull,no_cache,10.65098384225797,0.12432384837876671,6.4349449252,convex,5.395683899678261e-12,0.0574359496
0.651763139892636,conical_hull,gram_only,11.111452687623014,1.0677256128109989,13.3721605914,convex,-4.884981308350689e-13,0.5316791251999999
0.651763139893724,conical_hull,plain,11.111452687622073,1.067725612800908,16.5881319498,convex,-4.3298697960381105e-13,1.1691545334
0.7823359249855333,conical_hull,proposed,9.761097971866036,0.6451542255884668,3.1600776424,conical,-6.228351168147128e-12,0.05336562500000001
0.6274510550912105,conical_hull,no_cache,9.500675559731203,0.5921388460916933,4.8858010082,conical,-1.4088730182493236e-11,0.0542162586
0.7800166926962504,conical_hull,gram_only,9.761294920247119,3.3646037887022606,5.650005941799999,conical,-3.552713678800501e-13,0.2999072922
0.7800166927111052,conical_hull,plain,9.76129492024502,3.36460378872986,12.865248708600001,conical,-3.2862601528904634e-12,0.9846506416
