case_study,clustering_type,weight_type,n_rep_periods,curtailment_mean_pct,curtailment_sd_pct,n_seeds
p2x,convex_hull_with_null,conical_bounded,80,12.893085837927787,0.0,1
p2x,convex_hull_with_null,conical,10,13.093727305714905,0.0,1
p2x,convex_hull_with_null,conical,20,13.039931476812464,0.0,1
p2x,convex_hull_with_null,conical,40,13.139551912161135,0.0,1
p2x,convex_hull_with_null,conical,80,12.920988472210212,0.0,1
p2x,conical_hull,dirac,10,13.206255979370674,0.0,1
p2x,conical_hull,dirac,20,13.301113275085243,0.0,1
p2x,conical_hull,dirac,40,13.168451261774601,0.0,1
p2x,conical_hull,dirac,80,13.095136871179102,0.0,1
p2x,conical_hull,convex,10,13.186508440025296,0.0,1
p2x,conical_hull,convex,20,13.09040108888491,0.0,1
p2x,conical_hull,convex,40,13.041701390885587,0.0,1
p2x,conical_hull,convex,80,12.988550581622903,0.0,1
p2x,conical_hull,conical_bounded,10,13.165437648221152,0.0,1
p2x,conical_hull,conical_bounded,20,13.089529076373907,0.0,1
p2x,conical_hull,conical_bounded,40,13.054417499968455,0.0,1
p2x,conical_hull,conical_bounded,80,12.915056540634572,0.0,1
p2x,conical_hull,conical,10,13.242948865299162,0.0,1
p2x,conical_hull,conical,20,13.28594574253176,0.0,1
p2x,conical_hull,conical,40,13.177485610763274,0.0,1
p2x,conical_hull,conical,80,13.072986384310179,0.0,1
118bus,k_means,dirac,10,14.963127947359517,0.0,1
118bus,k_means,dirac,20,14.963127947359807,0.0,1
118bus,k_means,dirac,40,14.963127947359382,0.0,1
118bus,k_means,dirac,80,14.963127947359588,0.0,1
118bus,k_means,convex,10,14.963127947359382,0.0,1
118bus,k_means,convex,20,14.963127947359668,0.0,1
118bus,k_means,convex,40,14.963127947359382,0.0,1
118bus,k_means,convex,80,14.963127947359334,0.0,1
118bus,k_means,conical_bounded,10,14.963127947359382,0.0,1
118bus,k_means,conical_bounded,20,14.963127947359645,0.0,1
118bus,k_means,conical_bounded,40,14.963127947359485,0.0,1
118bus,k_means,conical_bounded,80,14.963127947359393,0.0,1
