case_study,clustering_type,weight_type,n_rep_periods,stage,time_mean_s,time_sd_s,method_label
p2x,hierarchical,dirac,20,read_preprocess,0.0086813666,4.028670805985519e-5,
p2x,hierarchical,dirac,20,cluster,0.4367401332,0.02629970247686914,
p2x,hierarchical,dirac,20,fit_weights,1.8248000000000003e-6,8.01667013166938e-8,
p2x,hierarchical,dirac,20,formulate_model,1.9248004998,0.4095581579651557,
p2x,hierarchical,dirac,20,solve,3.7196745831999998,0.16293365461067577,
p2x,hierarchical,dirac,40,read_preprocess,0.008790516600000001,0.00016759003300554633,
p2x,hierarchical,dirac,40,cluster,0.44835306680000003,0.028820814259976565,
p2x,hierarchical,dirac,40,fit_weights,1.5752000000000002e-6,3.671174199081269e-7,
p2x,hierarchical,dirac,40,formulate_model,3.5273357917999997,0.48285890819694716,
p2x,hierarchical,dirac,40,solve,9.7247270666,0.5223613470575876,
p2x,hierarchical,dirac,80,read_preprocess,0.0087073754,8.394056325638965e-5,
p2x,hierarchical,dirac,80,cluster,0.5146233084,0.08959724248015355,
p2x,hierarchical,dirac,80,fit_weights,1.8332e-6,1.216786752064634e-7,
p2x,hierarchical,dirac,80,formulate_model,5.9747799418,0.16013428821955109,
p2x,hierarchical,dirac,80,solve,20.0378131836,0.24052240601354966,
p2x,hierarchical,convex,10,read_preprocess,0.0087462166,0.00014748897301595097,
p2x,hierarchical,convex,10,cluster,0.43468121680000005,0.004555425808563202,
p2x,hierarchical,convex,10,fit_weights,0.1543472084,0.08587771076096364,
p2x,hierarchical,convex,10,formulate_model,1.6952278248,0.4581333290127898,
p2x,hierarchical,convex,10,solve,2.5726997752,0.33954646545383066,
p2x,hierarchical,convex,20,read_preprocess,0.008674425400000001,1.9963680529902245e-5,
p2x,hierarchical,convex,20,cluster,0.43272381679999994,0.008828875928576244,
p2x,hierarchical,convex,20,fit_weights,0.7836241164,0.5148210463463759,
p2x,hierarchical,convex,20,formulate_model,2.0753868663999997,0.32155575719187013,
p2x,hierarchical,convex,20,solve,6.193111683400001,0.332676962688945,
p2x,hierarchical,convex,40,read_preprocess,0.008680458200000001,7.398543822739699e-5,
p2x,hierarchical,convex,40,cluster,0.45437641660000005,0.019210155771154144,
p2x,hierarchical,convex,40,fit_weights,0.8838369668,0.5598007478237894,
p2x,hierarchical,convex,40,formulate_model,3.4489327748000003,0.6178659337773138,
p2x,hierarchical,convex,40,solve,8.9365755666,0.1041694722697158,
p2x,hierarchical,convex,80,read_preprocess,0.0087275666,0.00013007113779120983,
p2x,hierarchical,convex,80,cluster,0.44318279159999996,0.01611623689357171,
p2x,hierarchical,convex,80,fit_weights,2.3107246666,0.4241047910210218,
p2x,hierarchical,convex,80,formulate_model,5.710052758000001,0.6147788207500196,
p2x,hierarchical,convex,80,solve,23.936996816600004,0.32500548302057564,
p2x,chronological,dirac,10,read_preprocess,0.0086979164,5.266768313966315e-5,
p2x,chronological,dirac,10,cluster,0.4324277584,0.0074528138890570935,
p2x,chronological,dirac,10,fit_weights,1.7834000000000002e-6,9.931163073880116e-8,
p2x,chronological,dirac,10,formulate_model,1.4316782334,0.34240898890440785,
p2x,chronological,dirac,10,solve,1.3133611332000001,0.07041495402394014,
p2x,chronological,dirac,20,read_preprocess,0.0086615832,3.83072404866235e-5,
p2x,chronological,dirac,20,cluster,0.4475570336,0.022652416784954717,
p2x,chronological,dirac,20,fit_weights,1.6582e-6,4.256338802304158e-7,
p2x,chronological,dirac,20,formulate_model,2.1489725332000003,0.4940418305439782,
p2x,chronological,dirac,20,solve,2.999284975,0.35546538188770943,
p2x,chronological,dirac,40,read_preprocess,0.0086808914,3.397844257466808e-5,
p2x,chronological,dirac,40,cluster,0.4536791998,0.017434881107910104,
p2x,chronological,dirac,40,fit_weights,1.7e-6,5.157790224505064e-7,
p2x,chronological,dirac,40,formulate_model,3.7239617082,0.07217297882225221,
p2x,chronological,dirac,40,solve,4.972965933399999,0.049984977275046874,
p2x,chronological,dirac,80,read_preprocess,0.008719833199999999,7.866207022256688e-5,
p2x,chronological,dirac,80,cluster,0.43847885,0.01310428954669946,
p2x,chronological,dirac,80,fit_weights,1.4e-6,4.819450176109305e-7,
p2x,chronological,dirac,80,formulate_model,5.8086145996,0.08940785094120773,
p2x,chronological,dirac,80,solve,9.7315597332,0.11066360723753563,
p2x,chronological,convex,10,read_preprocess,0.008677025,2.913806336220681e-5,
p2x,chronological,convex,10,cluster,0.4605442582,0.028718356062195343,
p2x,chronological,convex,10,fit_weights,0.1882381582,0.09235079527977719,
p2x,chronological,convex,10,formulate_model,1.8490739748,0.512606537639492,
p2x,chronological,convex,10,solve,2.2154828832,0.08940193933936277,
p2x,chronological,convex,20,read_preprocess,0.0086956166,5.309957109337105e-5,
p2x,chronological,convex,20,cluster,0.4328663584,0.0039387644036201624,
p2x,chronological,convex,20,fit_weights,0.43591475820000003,0.3860575819640942,
p2x,chronological,convex,20,formulate_model,1.7902851918,0.0783850228239198,
p2x,chronological,convex,20,solve,6.2060416499999995,0.4226124755277454,
p2x,chronological,convex,40,read_preprocess,0.0086472252,9.464098521359582e-5,
p2x,chronological,convex,40,cluster,0.44640170800000006,0.01909712424353342,
p2x,chronological,convex,40,fit_weights,1.1679108252,0.6477424966815476,
p2x,chronological,convex,40,formulate_model,3.4846250250000006,0.5738325438852713,
p2x,chronological,convex,40,solve,13.4332635498,0.15420887259278976,
p2x,chronological,convex,80,read_preprocess,0.0087380584,0.00016104279011275224,
p2x,chronological,convex,80,cluster,0.4893934834000001,0.04208814176020018,
p2x,chronological,convex,80,fit_weights,2.3772983084,0.4646909161447641,
p2x,chronological,convex,80,formulate_model,5.4776347836,0.6005216711642466,
p2x,chronological,convex,80,solve,46.454963458,0.31983601906194614,
p2x,convex_hull,dirac,10,read_preprocess,0.008708882800000001,6.682416435467021e-5,
p2x,convex_hull,dirac,10,cluster,1.8585733748,0.09469840325364087,
p2x,convex_hull,dirac,10,fit_weights,1.0751999999999999e-6,2.348109878178617e-7,
p2x,convex_hull,dirac,10,formulate_model,1.2738120668000001,0.07579475892815864,
p2x,convex_hull,dirac,10,solve,1.5807124582,0.028179535636244205,
p2x,convex_hull,dirac,20,read_preprocess,0.0086841582,1.7210512897644684e-5,
p2x,convex_hull,dirac,20,cluster,1.9347530498,0.6468722362755694,
p2x,convex_hull,dirac,20,fit_weights,1.275e-6,1.4330038380967449e-7,
p2x,convex_hull,dirac,20,formulate_model,1.6735736499999998,0.051237007182041,
p2x,convex_hull,dirac,20,solve,3.8422906998000004,0.08306147615664876,
p2x,convex_hull,dirac,40,read_preprocess,0.008735174799999999,0.00014600049899127072,
p2x,convex_hull,dirac,40,cluster,3.9643719833999995,0.46736818768349564,
p2x,convex_hull,dirac,40,fit_weights,1.9247999999999998e-6,1.962783737450461e-7,
p2x,convex_hull,dirac,40,formulate_model,2.908165125,0.3606505682688201,
p2x,convex_hull,dirac,40,solve,9.1090315752,0.056741374467843796,
p2x,convex_hull,dirac,80,read_preprocess,0.0086720918,6.98765381777027e-5,
p2x,convex_hull,dirac,80,cluster,10.9545195418,0.6367879537285931,
p2x,convex_hull,dirac,80,fit_weights,1.1082e-6,1.0021576722252841e-7,
p2x,convex_hull,dirac,80,formulate_model,4.6868693332,0.48998740849200034,
p2x,convex_hull,dirac,80,solve,19.243547525,0.2455586036002612,
p2x,convex_hull,convex,10,read_preprocess,0.0087970416,0.00015838787983712643,
p2x,convex_hull,convex,10,cluster,0.7572776248,0.078879832856594,
p2x,convex_hull,convex,10,fit_weights,0.0578044,0.010321844676218803,
p2x,convex_hull,convex,10,formulate_model,1.3897894414,0.1131816743535379,
p2x,convex_hull,convex,10,solve,2.2423866416,0.10311780342213583,
p2x,convex_hull,convex,20,read_preprocess,0.008708366399999999,0.00019008455755873508,
p2x,convex_hull,convex,20,cluster,1.9306632334,0.7024902110381854,
p2x,convex_hull,convex,20,fit_weights,0.168746275,0.010221711903237047,
p2x,convex_hull,convex,20,formulate_model,1.7653993915999997,0.020549153679439245,
p2x,convex_hull,convex,20,solve,4.2292153834,0.0558367516597469,
p2x,convex_hull,convex,40,read_preprocess,0.0086341918,3.452816069094931e-5,
p2x,convex_hull,convex,40,cluster,4.095238958200001,0.5791631482489784,
p2x,convex_hull,convex,40,fit_weights,0.5731486997999999,0.03383610813803015,
p2x,convex_hull,convex,40,formulate_model,2.8366749168,0.10583637914050177,
p2x,convex_hull,convex,40,solve,9.0175942334,0.1290894022850596,
p2x,convex_hull,convex,80,read_preprocess,0.008731725199999998,9.093642493907497e-5,
p2x,convex_hull,convex,80,cluster,10.8448657252,0.5774923855438294,
p2x,convex_hull,convex,80,fit_weights,2.2022781914000005,0.6460457998723779,
p2x,convex_hull,convex,80,formulate_model,5.1203082252000005,0.5655370874888296,
p2x,convex_hull,convex,80,solve,40.1871961834,0.32908223127544667,
p2x,,,1,solve,64.3240726002,0.8680623933687507,full_reference
118bus,k_means,dirac,10,read_preprocess,0.0088558416,7.349222125368117e-5,
118bus,k_means,dirac,10,cluster,0.7952237166,0.5746075904175333,
118bus,k_means,dirac,10,fit_weights,0.0012835584,0.0007644263856335677,
118bus,k_means,dirac,10,formulate_model,1.4779377251999999,0.38755360381083864,
118bus,k_means,dirac,10,solve,0.9741058166000001,0.04708908291137998,
118bus,k_means,dirac,20,read_preprocess,0.00916345,6.351422352906437e-5,
118bus,k_means,dirac,20,cluster,0.6315810752,0.0974871983971817,
118bus,k_means,dirac,20,fit_weights,0.00064245,0.0008789007409827346,
118bus,k_means,dirac,20,formulate_model,2.3176502333999998,0.5765541663255334,
118bus,k_means,dirac,20,solve,2.3882141748,0.3893259559091826,
118bus,k_means,dirac,40,read_preprocess,0.0091836666,0.00013014576243312753,
118bus,k_means,dirac,40,cluster,0.6013483584,0.0801923153459062,
118bus,k_means,dirac,40,fit_weights,0.0013167749999999998,0.0007614574450519214,
118bus,k_means,dirac,40,formulate_model,3.6633115247999997,0.5892767290322842,
118bus,k_means,dirac,40,solve,5.6286290918,0.22285243693530246,
118bus,k_means,dirac,80,read_preprocess,0.0096818166,0.0012517226616292844,
118bus,k_means,dirac,80,cluster,0.6356139333999999,0.0859867328061873,
118bus,k_means,dirac,80,fit_weights,0.0013668,0.00033647912268073925,
118bus,k_means,dirac,80,formulate_model,6.876049849999999,0.1369550547978383,
118bus,k_means,dirac,80,solve,12.73307645,0.6237626768917526,
118bus,k_means,convex,10,read_preprocess,0.0093597584,0.00022409291394932611,
118bus,k_means,convex,10,cluster,0.5712971499999999,0.024722122425983414,
118bus,k_means,convex,10,fit_weights,0.14239149140000001,0.10735983265616073,
118bus,k_means,convex,10,formulate_model,1.6725160916,0.42963114409677133,
118bus,k_means,convex,10,solve,1.3087683502,0.10449234171585016,
118bus,k_means,convex,20,read_preprocess,0.009270258200000001,0.00032454255734910945,
118bus,k_means,convex,20,cluster,0.6212102666000001,0.08655218917971641,
118bus,k_means,convex,20,fit_weights,0.6428028586000001,0.5179222624310043,
118bus,k_means,convex,20,formulate_model,2.2508937,0.35936976108432034,
118bus,k_means,convex,20,solve,2.6310943084000002,0.06198015756158331,
118bus,k_means,convex,40,read_preprocess,0.0090874832,5.059828720618921e-5,
118bus,k_means,convex,40,cluster,0.5923115832,0.07596911278802113,
118bus,k_means,convex,40,fit_weights,1.6454827582,0.5605587533687001,
118bus,k_means,convex,40,formulate_model,3.3501042166000006,0.4381465070211649,
118bus,k_means,convex,40,solve,6.5959579418,0.3909585004377314,
118bus,k_means,convex,80,read_preprocess,0.0105614082,0.0027116869619100946,
118bus,k_means,convex,80,cluster,0.6225042084,0.11510839047679408,
118bus,k_means,convex,80,fit_weights,2.6462528582,0.5217378892114416,
118bus,k_means,convex,80,formulate_model,6.3576579498,0.6588811887404554,
118bus,k_means,convex,80,solve,20.1751380084,1.2605914445357904,
118bus,hierarchical,dirac,10,read_preprocess,0.0117969252,0.006017323263619689,
118bus,hierarchical,dirac,10,cluster,0.5650190831999999,0.02697792404621207,
118bus,hierarchical,dirac,10,fit_weights,0.001202575,0.0012466482738727872,
118bus,hierarchical,dirac,10,formulate_model,1.3277674668,0.08926303472851962,
118bus,hierarchical,dirac,10,solve,1.0970892831999999,0.10791712339746969,
118bus,hierarchical,dirac,20,read_preprocess,0.009166491799999999,3.7894708881319936e-5,
118bus,hierarchical,dirac,20,cluster,0.5514893667999999,0.031000911638088078,
118bus,hierarchical,dirac,20,fit_weights,0.0014998000000000001,0.00028272017968302164,
118bus,hierarchical,dirac,20,formulate_model,2.2835775414,0.503905345085423,
118bus,hierarchical,dirac,20,solve,2.6395809082,0.33145331937665956,
118bus,hierarchical,dirac,40,read_preprocess,0.009214783399999999,6.04883741251159e-5,
118bus,hierarchical,dirac,40,cluster,0.5283116999999999,0.014209802254299159,
118bus,hierarchical,dirac,40,fit_weights,0.0015915999999999999,0.00035564139241657457,
118bus,hierarchical,dirac,40,formulate_model,3.7277967000000003,0.5397282888443609,
118bus,hierarchical,dirac,40,solve,5.1118970167999995,0.47587176657865,
118bus,hierarchical,dirac,80,read_preprocess,0.0092972586,0.0002888615397752004,
118bus,hierarchical,dirac,80,cluster,0.6536743666,0.132014548630123,
118bus,hierarchical,dirac,80,fit_weights,0.0009838999999999998,0.0009148371542247287,
118bus,hierarchical,dirac,80,formulate_model,6.845819433199999,0.07005384284933275,
118bus,hierarchical,dirac,80,solve,10.921649308400001,0.3087877901990144,
118bus,hierarchical,convex,10,read_preprocess,0.009211842000000001,9.793800210847669e-5,
118bus,hierarchical,convex,10,cluster,0.5923277918000001,0.04591886134607235,
118bus,hierarchical,convex,10,fit_weights,0.09518128340000001,0.040551601769495765,
118bus,hierarchical,convex,10,formulate_model,1.3109303336000002,0.03917206983281482,
118bus,hierarchical,convex,10,solve,1.3393795836,0.07364881478301072,
118bus,hierarchical,convex,20,read_preprocess,0.009136100000000001,0.00011907230745643634,
118bus,hierarchical,convex,20,cluster,0.5509420416,0.02699243236731427,
118bus,hierarchical,convex,20,fit_weights,0.8371572418,0.5521799628596777,
118bus,hierarchical,convex,20,formulate_model,1.9669224002,0.08058734307615974,
118bus,hierarchical,convex,20,solve,2.8055312585999994,0.06998709126017122,
118bus,hierarchical,convex,40,read_preprocess,0.0093144584,0.00020125523029799737,
118bus,hierarchical,convex,40,cluster,0.5386280334,0.05486914044497271,
118bus,hierarchical,convex,40,fit_weights,1.4448213252,0.7123802836757068,
118bus,hierarchical,convex,40,formulate_model,3.123528975,0.04607284918241544,
118bus,hierarchical,convex,40,solve,7.0422001412,0.11352242491929725,
118bus,hierarchical,convex,80,read_preprocess,0.0091845834,0.00016411424941576477,
118bus,hierarchical,convex,80,cluster,0.5747064164,0.03367837584142799,
118bus,hierarchical,convex,80,fit_weights,2.4858010831999997,0.6101338305196473,
118bus,hierarchical,convex,80,formulate_model,6.4301818084,0.9258224772639175,
118bus,hierarchical,convex,80,solve,19.531415425400002,0.2769929296715101,
118bus,chronological,dirac,10,read_preprocess,0.0092110582,9.905009180308744e-5,
118bus,chronological,dirac,10,cluster,0.5394622002,0.02203760091475659,
118bus,chronological,dirac,10,fit_weights,0.0006173166,0.0008759987672318952,
118bus,chronological,dirac,10,formulate_model,1.4418037248,0.38352628841202185,
118bus,chronological,dirac,10,solve,0.843871375,0.08058156198568378,
118bus,chronological,dirac,20,read_preprocess,0.009157533200000002,6.13436886990014e-5,
118bus,chronological,dirac,20,cluster,0.7248293834,0.39496350270012215,
118bus,chronological,dirac,20,fit_weights,0.0013333584,0.0007757792071542006,
118bus,chronological,dirac,20,formulate_model,1.9671273418000002,0.21294516290594126,
118bus,chronological,dirac,20,solve,1.8620327914,0.4056180360476865,
118bus,chronological,dirac,40,read_preprocess,0.009090142,2.654609840447396e-5,
118bus,chronological,dirac,40,cluster,0.5260122002,0.013359295545872516,
118bus,chronological,dirac,40,fit_weights,0.0005672752,0.000775787932426575,
118bus,chronological,dirac,40,formulate_model,3.7215652498000003,0.5530513577147882,
118bus,chronological,dirac,40,solve,4.221534,0.46817343245032955,
118bus,chronological,dirac,80,read_preprocess,0.009259633399999998,0.0002660453411493986,
118bus,chronological,dirac,80,cluster,0.5695474,0.03950941573544633,
118bus,chronological,dirac,80,fit_weights,0.0009751499999999999,0.0005743679025676836,
118bus,chronological,dirac,80,formulate_model,6.962348108399999,0.1216543951626819,
118bus,chronological,dirac,80,solve,8.5604490086,0.1836697550258598,
118bus,chronological,convex,10,read_preprocess,0.009303325,0.0003327140717628279,
118bus,chronological,convex,10,cluster,0.5749845834,0.040920886685935784,
118bus,chronological,convex,10,fit_weights,0.1641515,0.11980782759586062,
118bus,chronological,convex,10,formulate_model,1.7162423413999999,0.5071848753316531,
118bus,chronological,convex,10,solve,1.3354983584,0.07948768853243739,
118bus,chronological,convex,20,read_preprocess,0.009244908199999999,0.00021559917675677701,
118bus,chronological,convex,20,cluster,0.5553323581999999,0.03266146880170283,
118bus,chronological,convex,20,fit_weights,0.9096350166,0.6014512061132605,
118bus,chronological,convex,20,formulate_model,2.0156984418,0.1094453051680132,
118bus,chronological,convex,20,solve,2.6821044998,0.4202730628847479,
118bus,chronological,convex,40,read_preprocess,0.009239633399999999,0.00019842436720020064,
118bus,chronological,convex,40,cluster,0.5567536414,0.027666513591387595,
118bus,chronological,convex,40,fit_weights,1.7613719586000003,0.5914629607746921,
118bus,chronological,convex,40,formulate_model,3.3988755338000005,0.5083968925372065,
118bus,chronological,convex,40,solve,7.005952450200001,0.21771456300189637,
118bus,chronological,convex,80,read_preprocess,0.00925685,0.00019110504366839698,
118bus,chronological,convex,80,cluster,0.5375585418000001,0.02151746315961194,
118bus,chronological,convex,80,fit_weights,2.4600991914,0.5902047954140711,
118bus,chronological,convex,80,formulate_model,6.8157211832,0.8005413369668923,
118bus,chronological,convex,80,solve,20.4897469668,0.27491270072602764,
118bus,convex_hull,dirac,10,read_preprocess,0.0091845082,0.00015287903538811304,
118bus,convex_hull,dirac,10,cluster,1.3482959414,0.691498578032807,
118bus,convex_hull,dirac,10,fit_weights,0.00044235000000000005,0.0006046312822704429,
118bus,convex_hull,dirac,10,formulate_model,1.3058693498,0.0716806895798016,
118bus,convex_hull,dirac,10,solve,1.0716214664000001,0.061580221645034315,
118bus,convex_hull,dirac,20,read_preprocess,0.0091479584,8.59140187123148e-5,
118bus,convex_hull,dirac,20,cluster,2.3428092166,0.6189523719563803,
118bus,convex_hull,dirac,20,fit_weights,0.0007172,0.0006645300830286014,
118bus,convex_hull,dirac,20,formulate_model,1.7956707168000001,0.026398369828556867,
118bus,convex_hull,dirac,20,solve,2.1938558336,0.06823764925650469,
118bus,convex_hull,dirac,40,read_preprocess,0.0091908582,0.00011732421893496668,
118bus,convex_hull,dirac,40,cluster,3.796630425,0.084995491430681,
118bus,convex_hull,dirac,40,fit_weights,0.0009590999999999998,0.0008980751917295122,
118bus,convex_hull,dirac,40,formulate_model,3.1239248334000003,0.04354149014428847,
118bus,convex_hull,dirac,40,solve,6.022231250000001,0.032118900674075766,
118bus,convex_hull,dirac,80,read_preprocess,0.009249525,0.0001916559394644475,
118bus,convex_hull,dirac,80,cluster,10.241112325,0.2260916962180833,
118bus,convex_hull,dirac,80,fit_weights,0.0004337417999999999,0.0005934325395200368,
118bus,convex_hull,dirac,80,formulate_model,5.523617475,0.2961002899794409,
118bus,convex_hull,dirac,80,solve,15.414650925,0.1653287611886255,
118bus,convex_hull,convex,10,read_preprocess,0.0092284334,0.00013112308029023727,
118bus,convex_hull,convex,10,cluster,1.0907096918,0.5190082437629557,
118bus,convex_hull,convex,10,fit_weights,0.079139133,0.08391669394557177,
118bus,convex_hull,convex,10,formulate_model,1.4943155504,0.4512372706484692,
118bus,convex_hull,convex,10,solve,1.4369712582,0.06065721871065391,
118bus,convex_hull,convex,20,read_preprocess,0.009182500199999999,6.527800298492536e-5,
118bus,convex_hull,convex,20,cluster,2.5931082668000003,0.019996220246392155,
118bus,convex_hull,convex,20,fit_weights,0.1461521664,0.014865457608186318,
118bus,convex_hull,convex,20,formulate_model,1.8740675167999998,0.036729583791631645,
118bus,convex_hull,convex,20,solve,2.9162427082000004,0.11483648640148059,
118bus,convex_hull,convex,40,read_preprocess,0.009131408400000002,0.0001501018836683938,
118bus,convex_hull,convex,40,cluster,3.4841098336000003,0.4912322362167746,
118bus,convex_hull,convex,40,fit_weights,0.4065523666,0.025620511650886437,
118bus,convex_hull,convex,40,formulate_model,3.0957368,0.13826413522248399,
118bus,convex_hull,convex,40,solve,6.9572804584,0.08773825027509749,
118bus,convex_hull,convex,80,read_preprocess,0.009244683200000001,0.00021098890253209984,
118bus,convex_hull,convex,80,cluster,9.965472850000001,0.24297301479220215,
118bus,convex_hull,convex,80,fit_weights,1.42606995,0.11424502912390086,
118bus,convex_hull,convex,80,formulate_model,5.436661925199999,0.2219747815682427,
118bus,convex_hull,convex,80,solve,21.4800577834,0.19604122748317165,
118bus,,,1,solve,73.91236345019999,1.4586022750881888,full_reference
