case_study,clustering_type,weight_type,n_rep_periods,stage,time_mean_s,time_sd_s,method_label
gep,hierarchical,convex,40,solve,24.3515744418,0.38057522335672234,
gep,hierarchical,convex,80,read_preprocess,0.0052385748000000005,6.733694536582406e-5,
gep,hierarchical,convex,80,cluster,0.19336045,0.00860970334061494,
gep,hierarchical,convex,80,fit_weights,1.39465335,0.02665010148675366,
gep,hierarchical,convex,80,formulate_model,1.6857474752000001,0.09380125083673764,
gep,hierarchical,convex,80,solve,119.15045486660001,0.5200727566868193,
gep,chronological,dirac,10,read_preprocess,0.005238108399999999,3.42378504845149e-5,
gep,chronological,dirac,10,cluster,0.2419445252,0.20530390030190226,
gep,chronological,dirac,10,fit_weights,1.558e-6,3.5806214544405556e-7,
gep,chronological,dirac,10,formulate_model,0.44609945,0.00475042226873042,
gep,chronological,dirac,10,solve,1.1159614666000002,0.20808842065326927,
gep,chronological,dirac,20,read_preprocess,0.005284824799999999,0.00014581241855788566,
gep,chronological,dirac,20,cluster,0.5204206748000001,0.20510132567021405,
gep,chronological,dirac,20,fit_weights,1.2751999999999999e-6,3.6052836226849065e-7,
gep,chronological,dirac,20,formulate_model,0.7125458334,0.11923228148545945,
gep,chronological,dirac,20,solve,2.624783058,0.023346389686959852,
gep,chronological,dirac,40,read_preprocess,0.0052751416,0.00022079683112490538,
gep,chronological,dirac,40,cluster,0.183225425,0.04039421275492389,
gep,chronological,dirac,40,fit_weights,1.4749999999999999e-6,6.071507226381272e-7,
gep,chronological,dirac,40,formulate_model,1.0204255668,0.3155639905269915,
gep,chronological,dirac,40,solve,6.3956803747999995,0.12235173298797639,
gep,chronological,dirac,80,read_preprocess,0.0052134916,3.7190316263780194e-5,
gep,chronological,dirac,80,cluster,0.2645720918,0.21980307226085177,
gep,chronological,dirac,80,fit_weights,1.5832e-6,3.4720123847705386e-7,
gep,chronological,dirac,80,formulate_model,1.7751677334,0.2389905077786894,
gep,chronological,dirac,80,solve,12.2288305748,0.10175992505045571,
gep,chronological,convex,10,read_preprocess,0.0052461828000000005,2.00671864918829e-5,
gep,chronological,convex,10,cluster,0.1786650502,0.056132662083278675,
gep,chronological,convex,10,fit_weights,0.1694283914,0.19611190035127488,
gep,chronological,convex,10,formulate_model,0.5405398168,0.20882084760048295,
gep,chronological,convex,10,solve,1.6394378670000003,0.04202356107371288,
gep,chronological,convex,20,read_preprocess,0.0053403834,0.00021778264205234556,
gep,chronological,convex,20,cluster,0.1535243164,0.003091182913924096,
gep,chronological,convex,20,fit_weights,0.3451059248,0.2744635107545659,
gep,chronological,convex,20,formulate_model,0.7253541165999999,0.18518020035667326,
gep,chronological,convex,20,solve,16.981199150000002,0.08474428628951414,
gep,chronological,convex,40,read_preprocess,0.0052836998000000005,0.00011560490271048209,
gep,chronological,convex,40,cluster,0.1765749416,0.057245500681389234,
gep,chronological,convex,40,fit_weights,0.6296408081999999,0.2774990073308395,
gep,chronological,convex,40,formulate_model,0.9659373666000001,0.03463534665490598,
gep,chronological,convex,40,solve,27.1442920834,0.38868981584392165,
gep,chronological,convex,80,read_preprocess,0.0052340248,3.549565122236815e-5,
gep,chronological,convex,80,cluster,0.3621182918,0.27097273392531207,
gep,chronological,convex,80,fit_weights,1.4381672582,0.030100731216622437,
gep,chronological,convex,80,formulate_model,1.6430605749999998,0.03778800751278023,
gep,chronological,convex,80,solve,109.34310801659998,0.5049576862716427,
gep,convex_hull,dirac,10,read_preprocess,0.005260583399999999,0.00013636905501909167,
gep,convex_hull,dirac,10,cluster,0.8239361082000002,0.2704326545881138,
gep,convex_hull,dirac,10,fit_weights,1.0502e-6,1.0796156723575295e-7,
gep,convex_hull,dirac,10,formulate_model,0.45180231639999996,0.08584296428739192,
gep,convex_hull,dirac,10,solve,1.6161895164,0.08296214354668148,
gep,convex_hull,dirac,20,read_preprocess,0.0052248582,2.6741145370010104e-5,
gep,convex_hull,dirac,20,cluster,0.98270365,0.23670339129047285,
