knob_group,knob_label,knob_note,variant,knob_value,range_min_pct,range_max_pct,weight_spread_pp,clustering_spread_pp,normalization_spread_pp
base,baseline,"β=60, renew=0.95, all knobs at default",base,-1,0.7294591033508269,5.744859373254774,2.072377141912929,4.81989370421021,4.899120099275334
beta,buffer horizon (beta_days),gates the inter-period storage reconstruction,beta120,120,0.7384985686843537,26.25704114147038,25.51854257278603,4.424541229727641,0.6126525291898055
beta,buffer horizon (beta_days),gates the inter-period storage reconstruction,beta15,15,0.3648322797706216,1.12937851085253,0.24117449139327007,0.488027867913865,0.5233717396886384
beta,buffer horizon (beta_days),gates the inter-period storage reconstruction,beta2,2,0.25088057789866003,0.700918668752859,0.26167918434742976,0.450038090854199,0.3940664251784298
beta,buffer horizon (beta_days),gates the inter-period storage reconstruction,beta30,30,0.3227029620003874,1.8185517602682388,0.6573822139084307,0.945400791223916,0.7561787558865163
beta,buffer horizon (beta_days),gates the inter-period storage reconstruction,beta5,5,0.23963540362490487,0.7993025202818194,0.39938560631949116,0.5554254020701865,0.4948445763552467
hull,residual-load hull geometry,-> weight class (convex vs conical vs bounded),hull03,3,6.03599673007309,42.853754208138106,21.987718046765316,27.563685241120826,3.633580357343977
hull,residual-load hull geometry,-> weight class (convex vs conical vs bounded),hull06,6,7.619364884422364,51.667124489303504,17.862219103420735,35.00693871055577,18.91400177587521
hull,residual-load hull geometry,-> weight class (convex vs conical vs bounded),hull10,10,4.4088120216629,82.46457568167199,23.338718331685705,78.05576366000909,26.795377044690753
noise,day-to-day irregularity,-> out-of-hull / reconstruction stress,noise10,10,1.1374795476621458,22.725265869670274,10.510741348249164,21.587786322008128,2.539528207438213
noise,day-to-day irregularity,-> out-of-hull / reconstruction stress,noise30,30,3.2784119366932707,35.392105497953175,2.697033351022519,29.416660210237385,25.175654769062113
noise,day-to-day irregularity,-> out-of-hull / reconstruction stress,noise60,60,10.424587339525203,32.47386495943789,2.154726807820051,22.049277619912687,6.563093393788755
reg,intrinsic dimensionality,-> selection and n_rp,reg12,12,3.5737364153896944,7.342062924073756,1.1965484454868003,3.768326508684061,1.9182198765309355
reg,intrinsic dimensionality,-> selection and n_rp,reg3,3,-2.2792878695554464e-10,0.13276751647368634,0.0,0.13276751670161513,0.0
reg,intrinsic dimensionality,-> selection and n_rp,reg30,30,0.24480816557155283,12.882043619927398,0.7564813771425474,12.637235454355846,3.8157620062160724
reg,intrinsic dimensionality,-> selection and n_rp,reg6,6,0.06173226575227897,0.3713401669563021,0.0,0.30960790120402315,4.440892098500626e-14
renew,storage reliance (renew_share),gates storage throughput / whether error costs,renew100,100,0.8789673223127625,8.681110042594753,2.1873847066539387,7.484557979270989,7.667604050371013
renew,storage reliance (renew_share),gates storage throughput / whether error costs,renew40,40,0.08994818485075218,0.7250603082143092,0.5438022797231934,0.3944198474515437,0.047178885152132644
renew,storage reliance (renew_share),gates storage throughput / whether error costs,renew60,60,0.2191043967918027,1.5116136587941753,0.9132087271455092,1.2925092620023726,0.4650421398164406
renew,storage reliance (renew_share),gates storage throughput / whether error costs,renew80,80,0.689051144092856,1.7258763568003266,0.8328329684844205,1.0368252127074706,0.07177085428067276
scale,cross-block feature scale,-> normalization,scale05,5,0.8084843256876306,5.844489510658324,2.0724347330880466,4.820558527892027,4.622454020669942
scale,cross-block feature scale,-> normalization,scale2,2,0.8086607914953525,5.745182194492693,2.0722573476124495,4.820200811948183,4.348991100466315
scale,cross-block feature scale,-> normalization,scale4,4,0.8086305788396864,5.74508956237354,2.0724674521131803,4.820158825410825,4.413378984359162
sd,seasonal:diurnal amplitude,-> inter- vs intra-period stress,sd03,3,3.845978730337607,39.61153871885883,6.161181977818452,35.765559988521225,1.64109502340124
sd,seasonal:diurnal amplitude,-> inter- vs intra-period stress,sd30,30,0.1273886609062691,12.987761039854462,7.894574011210809,5.2984992814419485,5.228262465737532
