name,seed,n_rep_periods,period_length,clustering_type,weight_type,normalization,tol,projection_error,sigma_max,sigma_min,kappa,stable_rank,numerical_rank,mean_weight_sum,max_weight_sum,frac_weight_sum_gt1,frac_weight_sum_lt1,weight_density,pgd_total_iters,pgd_max_iters_per_fit,cache_hits,cache_misses,termination_status,objective_value,cost_of_investment,cost_of_operations,cost_of_spillage,cost_of_borrow,n_variables,n_constraints,evaluation_termination_status,evaluated_objective_value,eval_cost_of_investment,eval_cost_of_operations,eval_cost_of_spillage,eval_cost_of_borrow,eval_n_variables,eval_n_constraints,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
synth/knobs/beta2_1_2880_k_means_dirac_0.01_economic,653657,1,2880,k_means,dirac,economic,0.01,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0,0,0,0,OPTIMAL,2.319647783692055e6,0.0,2.319647783692055e6,0.0,0.0,40329,74901,N/A,,,,,,0,0,0.0,0.0,0.003167542,0.004158,9.59e-7,0.120768584,0.1273655,0.027806209
synth/knobs/beta2_10_24_conical_hull_dirac_0.01_economic,653657,10,24,conical_hull,dirac,economic,0.01,440.3853040703681,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,1.0,1.0,0.0,0.0,0.1,0,0,508,527,OPTIMAL,2.504009788886556e6,0.0,2.5040097888865555e6,0.0,0.0,4473,8439,OPTIMAL,2.32878209767108e6,0.0,2.3287820976711153e6,0.0,-3.524291969370097e-8,40329,74541,56051.39860009178,-3.524291969370097e-12,0.003348417,0.00766725,1.167e-6,0.031164542,0.011509708,0.027806209
synth/knobs/beta2_10_24_conical_hull_convex_0.01_economic,653657,10,24,conical_hull,convex,economic,0.01,71.20770584648092,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,1.0,1.0,0.0,0.0,0.20583333333333334,21455,292,508,527,OPTIMAL,2.382830850523073e6,0.0,2.382830850523073e6,0.0,0.0,4473,8439,OPTIMAL,2.3347921769824727e6,0.0,2.334792176982484e6,0.0,-1.1368683772161603e-8,40329,74541,56251.73457713738,-1.1368683772161603e-12,0.003318167,0.031617583,0.006298375,0.030930625,0.014406292,0.027806209
synth/knobs/beta2_10_24_conical_hull_conical_0.01_economic,653657,10,24,conical_hull,conical,economic,0.01,66.90525601197321,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,1.0019299515644156,1.0216996701230046,0.3,0.6166666666666667,0.20666666666666667,20985,320,508,527,OPTIMAL,2.3795897078892505e6,0.0,2.379589707889251e6,0.0,0.0,4473,8439,OPTIMAL,2.330192220988283e6,0.0,2.330192220988294e6,0.0,-1.1368683772161603e-8,40329,74541,56098.40271066434,-1.1368683772161603e-12,0.00330475,0.007614583,0.004382542,0.031764291,0.014029208,0.027806209
synth/knobs/beta2_10_24_conical_hull_conical_bounded_0.01_economic,653657,10,24,conical_hull,conical_bounded,economic,0.01,71.16578960343404,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,0.9988115567471259,1.0,0.0,0.625,0.20583333333333334,21815,292,508,527,OPTIMAL,2.3795029324399773e6,0.0,2.379502932439977e6,0.0,0.0,4473,8439,OPTIMAL,2.3348521330711786e6,0.0,2.33485213307119e6,0.0,-1.1368683772161603e-8,40329,74541,56253.73311342756,-1.1368683772161603e-12,0.003264958,0.007702458,0.00690125,0.032448667,0.015599042,0.027806209
synth/knobs/beta2_10_24_k_means_convex_0.01_economic,653657,10,24,k_means,convex,economic,0.01,172.63384047811363,1002.0643754712411,0.00014314012937224614,7.000583133925365e6,1.2447524549324884,10,1.0,1.0,0.0,0.0,0.18583333333333332,25686,1555,0,0,OPTIMAL,2.3171537660143883e6,0.0,2.3171537660143874e6,0.0,0.0,4473,8439,OPTIMAL,2.325467329456995e6,0.0,2.3254673294569952e6,0.0,0.0,40329,74541,55940.90632628777,0.0,0.003292125,0.005132167,0.007533,0.031470709,0.021108791,0.027806209
synth/knobs/beta2_10_24_k_medoids_convex_0.01_economic,653657,10,24,k_medoids,convex,economic,0.01,119.96669784673111,991.9070504376979,0.0010060097912879247,985981.5073646827,1.2648437809296464,10,1.0,1.0,0.0,0.0,0.19416666666666665,35295,1541,0,0,OPTIMAL,2.3238101905390904e6,0.0,2.3238101905390904e6,0.0,0.0,4473,8439,OPTIMAL,2.331791664117226e6,0.0,2.331791664117226e6,0.0,0.0,40329,74541,56151.71748162883,0.0,0.00349325,0.005136916,0.01028075,0.031569875,0.022878959,0.027806209
synth/knobs/beta2_10_24_hierarchical_convex_0.01_economic,653657,10,24,hierarchical,convex,economic,0.01,97.86618970754766,990.8542118281212,0.0006411047967407829,1.545541722453766e6,1.2637037910470523,10,1.0,1.0000000000000002,0.0,0.0,0.19166666666666668,20584,505,0,0,OPTIMAL,2.325463221984228e6,0.0,2.325463221984228e6,0.0,0.0,4473,8439,OPTIMAL,2.327025633518102e6,0.0,2.327025633518102e6,0.0,0.0,40329,74541,55992.84979499126,0.0,0.003270625,0.005115,0.007103083,0.032311834,0.01685825,0.027806209
synth/knobs/beta2_10_24_chronological_convex_0.01_economic,653657,10,24,chronological,convex,economic,0.01,160.10917715438092,982.9653934132749,0.0003113059799767475,3.1575538429640704e6,1.2778576674753954,10,1.0,1.0,0.0,0.0,0.20083333333333334,81835,7058,0,0,OPTIMAL,2.333410195457788e6,0.0,2.3334101954577877e6,0.0,0.0,4473,8439,OPTIMAL,2.3262245127645154e6,0.0,2.326224512764516e6,0.0,0.0,40329,74541,55966.145769871866,0.0,0.003433166,0.005155917,0.024510084,0.031686666,0.021835834,0.027806209
synth/knobs/beta2_10_24_convex_hull_convex_0.01_economic,653657,10,24,convex_hull,convex,economic,0.01,77.69385457298183,1037.5098765143634,0.0007630976700924126,1.3596029934002014e6,1.2407501931082334,10,1.0,1.0000000000000002,0.0,0.0,0.20583333333333334,20707,312,474,561,OPTIMAL,2.3555514380631424e6,0.0,2.3555514380631424e6,0.0,0.0,4473,8439,OPTIMAL,2.328725664874034e6,0.0,2.328725664874045e6,0.0,-1.1368683772161603e-8,40329,74541,56049.51750685604,-1.1368683772161603e-12,0.003457458,0.012396833,0.006103208,0.031351167,0.014935958,0.027806209
