name,seed,n_rep_periods,period_length,clustering_type,distance,weight_type,projection_error,termination_status,objective_value,evaluation_termination_status,evaluated_objective_value,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
gep_10_24_k_means_euclidean_conical_1000_0.0001,522,10,24,k_means,euclidean,conical,109.69942084589393,OPTIMAL,5.243292511757923e7,OPTIMAL,1.315849191624734e8,0.0,0.0,0.007724625,0.219349584,3.365301791,0.726079875,2.457291666,0.66358875
gep_10_24_k_medoids_euclidean_conical_1000_0.0001,522,10,24,k_medoids,euclidean,conical,130.66591524447594,OPTIMAL,5.458808740947392e7,OPTIMAL,1.4693137049901977e8,0.0,0.0,0.007798208,0.207450209,3.432138416,0.743910459,2.634874208,0.66358875
gep_10_24_hull_euclidean_conical_1000_0.0001,522,10,24,hull,euclidean,conical,119.98594153400867,OPTIMAL,6.635815336444706e7,OPTIMAL,6.5151084992734395e7,0.0,0.0,0.007644333,3.517351917,3.946831958,0.756228291,2.949937709,0.66358875
gep_20_24_k_means_euclidean_dirac_1000_0.0001,522,20,24,k_means,euclidean,dirac,108.50886004776791,OPTIMAL,5.259740566347875e7,OPTIMAL,1.0324601840301523e8,0.0,0.0,0.007738708,0.20927775,8.34e-7,1.854824917,6.789480375,0.66358875
gep_20_24_k_medoids_euclidean_dirac_1000_0.0001,522,20,24,k_medoids,euclidean,dirac,136.47321724682828,OPTIMAL,5.481039304988265e7,OPTIMAL,1.260304932695861e8,0.0,0.0,0.007727084,0.207742833,1.25e-6,1.854806458,9.340417833,0.66358875
gep_20_24_hull_euclidean_dirac_1000_0.0001,522,20,24,hull,euclidean,dirac,149.11955677327688,OPTIMAL,6.440762436222026e7,OPTIMAL,6.273990461685777e7,0.0,0.0,0.007700375,2.054155209,1.166e-6,1.135979125,8.669919084,0.66358875
gep_20_24_k_means_euclidean_convex_1000_0.0001,522,20,24,k_means,euclidean,convex,103.01174415568444,OPTIMAL,5.2598162392992124e7,OPTIMAL,1.034777663777938e8,0.0,0.0,0.007585375,0.214407292,7.633947709,1.142740333,19.930256833,0.66358875
gep_20_24_k_medoids_euclidean_convex_1000_0.0001,522,20,24,k_medoids,euclidean,convex,115.76925610546772,OPTIMAL,5.4458668966365695e7,OPTIMAL,1.2614853908553134e8,0.0,0.0,0.0077835,0.202214375,7.678861667,1.227608042,26.419024958,0.66358875
gep_20_24_hull_euclidean_convex_1000_0.0001,522,20,24,hull,euclidean,convex,102.64688589446578,OPTIMAL,6.788046094573459e7,OPTIMAL,6.2979372148402475e7,0.0,0.0,0.007687583,1.702949917,6.841229084,1.23045525,17.878950917,0.66358875
gep_20_24_k_means_euclidean_conical_bounded_1000_0.0001,522,20,24,k_means,euclidean,conical_bounded,102.10534847670681,OPTIMAL,5.2293994423744105e7,OPTIMAL,1.0376926400621997e8,0.0,0.0,0.007801625,0.209642333,8.375889875,1.120598792,19.213538167,0.66358875
